1,1,253.3,435.5,95.8,217.2,0.74,-1,-1,-1
1,2,342.8,276.5,101.6,203.4,0.71,-1,-1,-1
1,3,170.9,626.9,67.5,152.7,0.52,-1,-1,-1
1,4,936.0,10.9,46.9,141.2,0.52,-1,-1,-1
1,5,1648.4,445.7,115.2,260.1,0.50,-1,-1,-1
1,6,1189.3,0.0,50.9,73.8,0.50,-1,-1,-1
1,7,1757.4,147.2,52.0,170.4,0.50,-1,-1,-1
2,1,1648.4,438.9,111.8,267.1,0.81,-1,-1,-1
2,2,258.1,433.6,85.7,219.6,0.76,-1,-1,-1
2,3,347.1,269.2,70.2,208.0,0.56,-1,-1,-1
2,4,935.6,7.7,47.7,144.5,0.53,-1,-1,-1
2,5,1191.1,0.1,49.1,72.6,0.53,-1,-1,-1
2,6,1757.5,147.3,51.8,170.4,0.52,-1,-1,-1
2,7,150.6,627.2,65.9,146.7,0.52,-1,-1,-1
2,8,1257.0,0.3,40.4,78.0,0.50,-1,-1,-1
3,1,256.4,437.2,86.9,215.3,0.71,-1,-1,-1
3,2,1189.4,0.2,51.6,72.8,0.59,-1,-1,-1
3,3,349.7,276.8,97.0,192.5,0.58,-1,-1,-1
3,4,135.3,628.6,69.0,142.8,0.57,-1,-1,-1
3,5,1256.9,0.3,40.6,77.9,0.54,-1,-1,-1
4,1,1648.2,439.6,122.0,266.8,0.85,-1,-1,-1
4,2,265.4,445.3,78.1,202.8,0.76,-1,-1,-1
4,3,356.1,255.8,91.9,213.1,0.71,-1,-1,-1
4,4,1195.1,0.0,45.8,72.9,0.61,-1,-1,-1
4,5,1256.8,0.0,40.6,77.1,0.59,-1,-1,-1
4,6,1757.5,146.5,51.9,171.2,0.54,-1,-1,-1
4,7,126.3,628.6,70.7,151.6,0.52,-1,-1,-1
5,1,1650.8,438.0,121.1,265.3,0.88,-1,-1,-1
5,2,266.4,438.0,78.4,207.0,0.74,-1,-1,-1
5,3,363.8,257.3,86.4,200.2,0.70,-1,-1,-1
5,4,1196.8,0.0,46.0,72.5,0.61,-1,-1,-1
5,5,1117.5,2.0,32.8,63.1,0.54,-1,-1,-1
5,6,1757.5,146.2,51.8,171.4,0.53,-1,-1,-1
5,7,1257.1,0.0,41.2,75.4,0.53,-1,-1,-1
5,8,115.1,629.5,71.2,151.4,0.52,-1,-1,-1
6,1,1650.4,434.5,124.2,266.1,0.85,-1,-1,-1
6,2,379.2,253.6,75.6,200.2,0.76,-1,-1,-1
6,3,87.2,630.7,75.8,153.1,0.64,-1,-1,-1
6,4,1757.4,144.7,51.8,173.1,0.63,-1,-1,-1
